id,question,answer
1234,لفظ حین معرب ہے یا مبنی اگر معرب ہے تو منصرف و غیر منصرف میں سے کیا ہےاور اگر مبنی ہے تو اسکی کونسی قسم ہے؟,لفظ حین معرب منصرف ہے
1235,ثُمَّ تُوْبُوْۤا اِلَیْهِ یُرْسِلِ السَّمَآءَ عَلَیْكُمْ یرسل کو مجرور کیوں پڑھ رہے ہیں,یرسل فعل توبوا فعل امر کا جواب ہونے کی وجہ سے مجزوم ہء ہے \nلیکن یہاں اس پر کسرہ آگے والے سے ملانے کے لیے دیا گیا ہے کہ قاعدہ جب ساکن کو حرکت دیں گے تو کسرہ دیں گے
1236,تَدَلیّٰ کونسا صیغہ ہے؟,تدلی صیغہ واحد مذکر غائب فعل ماضی مثبت معروف ثلاثی مزید فیہ ناقص واوی از باب تفعل
1237,سمع کی ترکیب کسی ہو گئی ؟,سمع کی ترکیب یوں ہونا ممکن ہے\nسمع فعل ھو ضمیر فاعل \nجملہ فعلیہ خبریہ
1238,صلوة المسافر کے باب میں زیادہ استعمال ہونے والے صغیوں کی صرفی تحقیق کر دیں\n,https://www.youtube.com/live/xYpHju_zvXs?si=KdA_Zo4cC9utS-B8
1239,یجب کی نحوی اجرا کیا ہے\n\n,یجب کا نحوی اجراء \nلفظ موضوع مفرد فعل معرب حالت رفعی ضمہ سے نواصب و جوازم سے خالی ہونے کی وجہ سے
1240,خاصة. ترکیب میں کیا واقع ہو رہا ہے\n,خاصۃ ترکیب میں دو طرح استعمال ہوتا ہے اگر بغیر واو کے ہو تو ما قبل سے حال بنتا ہے اور اگر واؤ کے ساتھ ہو تو فعل محذوف اخص کا مفعول مطلق بنتا ہے
1241,لفظ اسم جلالت( اللہ ) عزوجل کی صرفی تحقیق و تعلیل بیان فرما دیں,صرفی تحقیق میں اسم جامد ثلاثی مزید فیہ مہموز اللام \nاعلی حضرت اور کئی اہل علم کے نزدیک یہ علم مرتجل ہے یعنی کسی اور لفظ سے نہیں بنا ہوا \nجبکہ بعض لوگ کہتے ہیں کہ یہ اصل میں أل الہ تھا کثرت استعمال کی وجہ سے درمیان کا ہمزہ گر گیا پھر لام کا لام میں ادغام کیا تو اللہ ہوگیا
1242,ایٌّ اور ایَّۃٌ معرب ہے یا مبنی ؟,معرب ہیں سوائے جب موصول ہوں مضاف ہوں اور ان کا صدر صلہ محذوف ہو تو اس صورت میں مبنی ہوں گے
1243,شبہ فعل اور شبہ جملہ کسے کہتے ہیں مثالوں سے سمجھا ۓ پلیز,شبہ فعل اسم فاعل اسم مفعول صفت مشبہ مبالغہ تفضیل کہلاتے ہیں \nاور شبہ جملہ کے دو اطلاق ہیں \nایک تو جار مجرور ظرف کو کہتے ہیں \nیا پھر شبہ فعل اپنے فاعل سے ملکر شبہ جملہ بنتا ہے
1244,کانا  یہ کونسا صیغہ,کانا \nصیغہ تثنیہ مذکر غائب فعل ماضی مثبت معروف ثلاثی مجرد اجوف واوی از باب نصر ینصر \nاصل میں کَوَنَا تھا
1245,Mosof sifat myn amil mamol btany ka kiya tariqa hy ? Or agr hm sy koi mosof sifat ka amil mamol pochy to isky amil mamol btany ka kiya  tariqa ho ga?,موصوف تو معمول ہوتا ہے جو بھی اس کا عامل ہو \nلیکن صفت کے عامل میں اختلاف ہے ہمارے ہاں عموما صفت کو معمول بالتبع کہتے ہیں \nیعنی موصوف کا جو عامل ہے وہ موصوف میں ڈائریکٹ عمل کرے گا \nاور جو صفت ہوگی اس میں بھی موصوف کا عامل عمل کرتا ہے لیکن موصوف کے واسطے سے
1246,میسرہ ترکیب,https://www.youtube.com/live/xYpHju_zvXs?si=KdA_Zo4cC9utS-B8
1247,نفقہ کی حروف اصلی کیا ہے \n\n\n,ن ف ق
1248,میرا سوال ہے کہ لفظ احمد پر کون سا صیغہ ہے اور صرفی تحقیق کرے؟؟,احمد صیغہ واحد مذکر اسم تفضیل ثلاثی مجرد صحیح از باب سمع یسمع
1249,کان مشھودا میں مسند اور مسند الیہ کیا ہو گے؟,کان میں ھو ضمیر مسند الیہ مشہودا مسند
1250,نَوَيْتُ أَنْ أَصَلَّى لِلَّهِ تَعَالَى رَكْعَتَى صَلَاةِ الْفَجْرِ سُنَّةَ رَسُولِ اللهِ تَعَالَى مُتَوَجِهَا إِلَى جِهَةِ الْكَعْبَةِ الشَّرِيفَةِ، اللَّهُ أَكْبَرُ کی تراکیب کیا ہواگی,نویت فعل تاء ضمیر فاعل \n ان مصدریہ \nاصلی فعل انا ضمیر  ل جار اللہ مجرور جار مجرور ملکر ظرف لغو رکعتی مضاف صلاۃ مضاف مضاف الیہ الفجر مضاف الیہ \nمضاف الیہ مضاف ملکر مرکب اضافی ہو کر رکعتی مضاف کے لئے مضاف الیہ مضاف مضاف الیہ ملکر مرکب اضافی ہوگیا \nمبدل منہ \nسنۃ مضاف رسول مضاف الیہ مضاف اللہ ذو الحال تعالی فعل ھو ضمیر فاعل فعل فاعل ملکر جملہ فعلیہ خبریہ ہو کر حال ذو الحال حال ملکر مضاف الیہ \nمضاف الیہ مضاف ملکر سنۃ مضاف کا مضاف الیہ مضاف الیہ مضاف ملکر مرکب اضافی ہوکر بدل \nمبدل منہ بدل ملکر مفعول مطلق عددی \nمتوجھا اسم فاعل ھو ضمیر فاعل الی حرف جار جھۃ مضاف الکعبۃ موصوف الشریفۃ صفت موصوف صفت ملکر مضاف الیہ مضاف مضاف الیہ ملکر مرکب اضافی ہو مجرور جار مجرور ملکر متوجھا کا ظرف لغو \nمتوجھا اسم فاعل اپنے فاعل اور ظرف لغو ملکر حال اصلی کی انا ضمیر سے \nفعل اپنے فاعل مفعول مطلق وغیرہ سے ملکر جملہ فعلیہ خبریہ ہو کر ان مصدریہ سے ملکر مصدر مؤول ہوکر مفعول بہ \nنویت فعل اپنے فاعل اور۔مفعول بہ سے ملکر جملہ فعلیہ خبریہ \nاللہ مبتدا اکبر اسم تفضیل اس میں ھو ضمیر فاعل اسم تفضیل اپنے فاعل سے ملکر شبہ جملہ ہو کر خبر مبتدا خبر ملکر جملہ اسمیہ خبریہ \n
1251,حسبنا اللّٰہ ونعم الوکیل کی ترکیب بتادیں ؟,حسب مضاف نا ضمیر مضاف الیہ \nمرکب اضافی ہو کر مبتدا \nاللہ اس کی خبر مبتدا خبر ملکر جملہ اسمیہ خبریہ ہو کر معطوف علیہ \nو حرف حرف عطف\n\nنعم فعل مدح اس میں ھو ضمیر فاعل \nفعل فاعل ملکر جملہ فعلیہ انشائیہ \nالوکیل خبر مبتدا محذوف ھو کی \nھو مبتدا اپنی خبر سے ملکر جملہ اسمیہ خبریہ
1252,تزاول کی صرفی تحقیق و تعلیل,صیغہ واحد مذکر حاضر یا صیغہ واحد مؤنث غائب فعل مضارع مثبت معروف ثلاثی مزید فیہ ناقص واوی از باب مفاعلہ
1253,Mujaf kiya hai\n,وہ اسم جسے کسی دوسرے اسم کی طرف منسوب کیا جاتا ہے جیسے \nغلام زید میں غلام کی نسبت زید کی طرف کی گئی ہے
1254,عتو کا اصل کیا ہے,عتوو تھا دونوں واو کا ادغام کیا ہے
1255,ريح يوسف  میں اسم متمکن کون سی قسم ھے,ریح اسم متمکن مفرد منصرف صحیح \n\nیوسف اسم متمکن غیر منصرف (علم+عجمہ)
1256,متضمن کا کیا مطلب ھیں۔احد عشر میں  واو متضمن کیسے ھیں۔,متضمن کا مطلب ہوتا ہے شامل ہونے والا \nاحد عشر اصل احد و عشر دس اور ایک تھا \nلیکن اس واؤ کو حذف کر دی گیا تو احد عشر ہوگیا ہے \nاس طرح یہ مرکب واو کے معنی کو متضمن ہے
1257,كنس اور حذر كو مضارع میں کیا اعراب آءے گا,کنس کا فعل مضارع یَکْنِس \nحذر کا فعل مضارع یَحْذَر
1258,عربی عبارت میں کتنی چیزیں حل کرنی ہوتی صرف ونحو دونوں کے اعتبار سے,عربی عبارت میں تو نحو کے اعتبار سے اعراب اور وجہ اعراب اور صرفی اعتبار سے مشتق و جامد فعل وغیرہ کی بحث ہوتی ہے
1259,سلام ۔۔ افعال ناقصہ کی صرفی تحقیق نہیں ہوتی کیا کان یکون کی صرفی تحقیق ہوگی ہہا نہیں,جی انکی صرفی تحقیق ہوگی
1260,ولا تکونو کونسا صیغہ ہے,جمع مذکر حاضر
1261,بیت مذکر ہے یا مونث؟,مذکر
1262,معلل صیغہ بتا دیں 9 سے 10 جن میں معروف قاعدے نا لگے ہیں,نصاب الصرف کے آخر میں سے مشکل صیغے دیکھ لیں
1263,اسم تفصیل کى صىغة اضىرب اسم تصغير كى معنى كىا هے,تھوڑا سا زیادہ مارنے والا ایک مرد
1264,مھموز کے قواعد کیسے یاد کریں,مہموز کے قواعد کو پہلے دو حصوں میں تقسیم کریں \n1 ھمزہ منفردہ \n2دو ہمزہ ایک ساتھ \nپھر ان میں سے ہر ایک کے ساکن اور متحرک ہونے کے اعتبار سے تقسیم کریں\nجیسے ھمزہ منفردہ ساکنہ اور ھمزہ منفردہ متحرکہ ما قبل ساکن \nیوں مختلف اقسام میں تقسیم کر کے نقشہ کی صورت میں یاد کریں
1265,ضرب زید اس میں مرکب اور اس اقسام بتائیں,ضرب زید مرکب مفید کی قسم جملہ فعلیہ خبریہ ہے
1266,والله کی ترکیب,و جار اللہ مجرور جار مجرور ملکر ظرف مستقر اقسم فعل کے متعلق اس میں انا ضمیر فاعل \nفعل فاعل ظرف مستقر ملکر جملہ فعلیہ انشائیہ
1267,عقیدہ کس باب سے ہے اور کونسا صیغہ ہے اور اسکا  معنی کیا ہے,عقیدہ اسم جامد ثلاثی مزید فیہ صحیح \nحروف اصلیہ ع ق د \nزائدہ یاء \nمعنی کسی بات پر پختہ یقین
1268,قال ke girdan\n,ہماری ایپ کے گردان والے سیکشن میں جائیں وہاں سے مل جائے گی
1269,الحمدللہ رب العالمین الرحمن الرحیم مللک یوم الدین کی نحوی تحقیق کیا ہے,لفظ موضوع مرکب مرکب مفید جملہ اسمیہ خبریہ
1270,استغفر زید      کی مکمل اجراء تحریر کریں ۔پلیز,استغفر \nلفظ موضوع مفرد فعل مبنی مبنی علی الفتح \nزید لفظ موضوع مفرد اسم معرفہ مذکر واحد معرب مفرد منصرف صحیح معمول اعراب اصلی حالت رفعی اعراب فاعل ہونے کی وجہ سے
1271,اسباب منع صرف میں عدل کی پہچا ن کیسے کریں,عدل کی دو قسمیں ہیں \nعلم معدول \nاور وصف معدول\nعلم معدول بنیادی طور پر دو وزن پر بکثرت آتا ہے \nفُعَل\nجیسے عمر زحل وغیرہ اس قسم کے پندرہ اسماء ہیں \nاسی کے ساتھ جمع کتع بتع وغیرہ بھی ملحق ہیں \nدوسرا وزن فَعَل \nاس پر ایک اسم آتا ہے سحر \nدوسری قسم ہے وصف معدول \nاس میں پہلے ایک سے لیکر دس تک اعداد جو فُعال یا مَفْعَلُ کے وزن پر آتے ہیں \nاور دوسری کیٹگری میں صرف أُخر آتا ہے یہ چند گنے چنے اسماء عدل میں آتے ہیں
1272,یحیی کونسا صیغہ ہے\n,صیغہ واحد مذکر غائب فعل مضارع مثبت معروف ثلاثی مجرد لفیف مقرون از باب سمع یسمع \nاصل یَحْیَیُ تھا یاء متحرک ما قبل مفتوح کو الف سے بدلا تو یحیٰ ہوگیا \n
1273,MASDER KE TAREEF,\n\nمصدر\nوہ اسم جس سے دوسرے کلمات مشتق (بنتے) ہوں اور وہ خود کسی سے مشتق نہ ہو اور اس کے اردو ترجمہ میں نا آتا ہے\nجیسے: ضَرْبٌ\n
1274,کیا ظرف اسم منسوب سے متعلق ہوسکتاہے۔      اور اسم منسوب کے متعلق تھوڑی سی جانکاری اور دیدیں,جی اسم ظرف اسم مفعول کی طرح ہوتا ہے اس میں نائب الفاعل کی ضمیر نکلتی ہے \nاور ظرف کو نصب بھی دیتا ہے
1275,یَطْمَئِنَّ اسکی مکمل تعلیل و تحقیق بتا دیجیے,یطمئن صیغہ واحد مذکر غائب فعل مضارع مثبت معروف ملحق برباعی مزید فیہ مہموز اللام از باب افعِلَّال \nحروف اصلیہ ط م ء ن \nمصدر اطمئنان \nاس میں تعلیل کوئی نہیں ہوئی
1276,مسیرةکون سا صیغہ ہے اور گرادن کون سا ہے\n\n,مسیرۃ مصدر ثلاثی مجرد اجوف یائی از باب ضرب یضرب \nاس کی گردان سار یسیر سیرا فھو سائر ۔۔۔۔
1277,Is myn Ibham bi to hy na ka name rakha jta hy kia ya to malom hi nhi,یسمی سورا کا ترجمہ ہوگا اس لفظ کو سور کہتے ہیں
1278,اسم کسے\n کھتے ھیں\n,وہ کلمہ جو اپنے زمانہ پر دلالت کرے اور ماضی حال استقبال سے ملا ہوا نا ہو
1279,شھد کی ماضی مطلق معروف گردان کیسے بنے گی؟,ہماری ایپ میں سمع والی گردان دیکھیں اسی طرح اور وزن پر بنے گی
1280,ظرف مکان کی تعریف اور ترکیب وضاحت سے کرے,ظرف مکان وہ ظرف جس میں کوئی فعل واقع ہو \nظرف مکان دو قسم کا ہے مبھم و محدود \nظرف مکان مبھم منصوب ہوتا ہے جیسے وقفت امام المنبر \nوقفت فعل تاء ضمیر فاعل امام مضاف المنبر مضاف الیہ مرکب اضافی ہو کر مفعول فیہ \nفعل فاعل مفعول فیہ ملکر جملہ فعلیہ خبریہ \nبقیہ ظرف مکان محدود فی حرف جر کی وجہ سے مجرور ہوتا ہے \nاور بعض صورتوں میں منصوب ہوتا ہے
1281,ایسا کوئ آسان طریقہ بتائیں جس سے یہ معلوم ہوجاۓ کے اس لفظ میں تعلیل ہوئی ہے\n,ایسا کوئی خاص طریقہ ہے نہیں \nاور جو طریقے ہیں وہ بھی آپس میں ملتے جلتے ہیں کبھی وہ تعلیل والا ہوتا ہے کبھی بغیر تعلیل والا \nاس کے لئے بہترین اور مستقل حل یہ ہے کہ \nآپ گردان کم از کم یاد رکھیں اور کچھ پریکٹس کریں \nکم از کم ایک ماہ میں دو چار سو صیغے حل کریں \nاگر سمجھ نا آئے پوچھیں\nلیکن مشق / پریکٹس ضروری چیز ہے \n
1282,یکرہ الاستنجاء بعظم ۔۔۔ ترکیب کیجیے,یکرہ فعل الاستنجاء نائب الفاعل ب جار عظم مجرور جار مجرور ملکر ظرف لغو \nفعل فاعل ظرف لغو ملکر جملہ فعلیہ خبریہ
1283,لقد خلقنا الانسان في احسن التقويم کی ترکیب کیسے کریں,ل برائے تاکید \nقدخلقنا فعل نا ضمیر فاعل \nالانسان مفعول بہ \nفی جار احسن مضاف تقویم مضاف الیہ مضاف مضاف الیہ ملکر مرکب اضافی ہو کر مجرور جار مجرور ملکر ظرف لغو \nفعل فاعل مفعول بہ ظرف لغو ملکر جملہ فعلیہ خبریہ
1284,فعل کے نحوی اجرا۶ میں حالت بتاے گےیا نہیں اگر بتاگے تو \nکان \nki halat kya likhyn gy nahvvi ijra mai ?,نحوی اجراء میں فعل کی حالت بتائی جائے گی \nفعل مضارع معرب ہے تو اس کا اعراب وجہ اعراب وغیرہ بھی بتائے جائیں گے \nجبکہ فعل ماضی میں بس مبنی ہونا بتایا جائے گا \nکان لفظ موضوع مفرد فعل مبنی مبنی علی الفتح
1285,ایضاً کے بارے میں صرفی اور نحوی تحقیق کردیں,https://www.youtube.com/live/xYpHju_zvXs?si=KdA_Zo4cC9utS-B8
1286,لا تصح صلاتہ عاریا اسکی ترکیب کر دیجیے,لا تصح فعل صلاۃ مضاف ھاء ضمیر ذو الحال عاریا حال \nذو الحال حال ملکر مضاف الیہ مضاف اپنے مضاف الیہ سے ملکر فاعل \nفعل فاعل ملکر جملہ فعلیہ خبریہ
1287,رجل کون سا اسم ہے\n,نکرہ مذکر مفرد \nکس حوالے سے پوچھا ہے وہ بھی بتائیں
1288,یسمی سورا کی ترکیب اس طرح صحیح نہ ہونے کی کیا وجہ ہے ؟,کیوں کہ یسمی متعدی بدو مفعول ہے اور ھو ضمیر اس کا مفعول بہ اول ہے جسے نائب الفاعل بنایا ہے جبکہ سورا مفعول بہ ثانی ہے
1289,Jamiatun . Marifa hai ya nakera\n,جامعۃ ٌ پوچھا ہے تو یہ نکرہ ہے
1290,ترضین اصل میں کیا تھا,ترضین اصل میں تَرْضَیِیْنَ تھا \nیاء متحرک ما قبل مفتوح کو الف سے بدل دیا تو ترضاین ہوگیا تو الف اور یاء دونوں ساکن جمع ہوئے الف کو اجتماع ساکنین سے گرا دیا تو ترضَیْنَ ہوگیا
1291,اقل اصل میں کیا تھا اس میں کیا تعلیل ہوئ ہے,اقل اصل میں أَقْلَلُ تھا دو ہم جنس حروف جمع ہوئے دونوں متحرک تھے اور ما قبل ساکن تھا تو پہلے لام کی حرکت کو ما قبل کی طرف نقل کر دیا پھر دونوں لاموں کا ادغام کیا تو اقل ہوگیا
1292,فعل کس کو کہتے ہیں,فعل وہ کلمہ ہوتا ہے جس ماضی حال یا استقبال میں سے کسی زمانے ہر دلالت کرے
1293,عمرو کے اعراب کی رفعی نصبی اور جری حالت اعراب لگا کر بیان فرما دیجئے,عمرو کا اعراب اعراب بالحرکت ہے \nضربت عمروا مررت بعمرو  جاء عمرو \n\nیہ واؤ صرف عمر سے جدا کرنے کے لئے لائی گئی اس پر اعراب وغیرہ کچھ نہیں آتا
1294,مرفوعات منصوبات اور مجرورات کتنے اور کون سے ہیں,نیچے سب لکھے ہوئے ہیں
1295,حسبی اللہ ونعم الوکیل میں مطلوبہ یہ ہیکہ ی پر فتح کس بنا پر\n ہے\nباعتبار نحو و صرف\n,اصولی طور پر جب یاء متکلم کی طرف اسم صحیح یا قائم مقام صحیح مضاف ہوتا ہے تو یاء پر جزم اور فتح دونوں جائز ہوتے ہیں \nتو اسی اعتبار سے یہاں فتحہ پڑھا ہے
1296,سورہ بقرہ ایت نمبر 102 میں ہاروت اور ماروت کے ذکر سے پہلے ما نافیہ ہے جبکہ کچھ لوگ اس ما کو ما موصولہ کہتے ہیں تو اس کے ما نافیہ ہونے کی کیا دلیل ہے اور کیا وجہ ہے کہ اس کو ما موصولہ نہیں مانا جا سکتا,کونسی ما مراد ہے آپ کی اس آیت میں شاید دو مقام پر ما آیا ہے
1297,غیر منصرف    منصرف کے حکم میں  کب ھوسکتا ہیں.,جب الف لام یا مضاف ہو تو غیر منصرف منصرف کے حکم میں ہوگا
1298,سئلتمونی کی صرفی تحقیق مع تعلیل؟,سئلتم صیغہ جمع مذکر حاضر فعل ماضی مثبت معروف ثلاثی مجرد مہموز العین از باب فتح یفتح \nاس میں کوئی تعلیل نہیں کوئی \nجب صیغہ جمع مذکر حاضر کے ساتھ کوئی ضمیر آ جائے تو اس صورت میں میم کے ساتھ واؤ لگاتے ہیں \nاور نی یہ نون وقایہ اور یاء متکلم سے مرکب ہے جو کہ فعل کا حصہ نہیں ہیں
1299,ھنالک الزلازل ۔۔۔اس مثال میں زلازل غیر مبصر ہے جبکہ اسم اشارہ ایسے اسم کو کہتے ہیں جس کے ذریعے اسم مبصر کی طرف اشارہ کیا جائے تو یہاں ھنالک اسم اشارہ کیسے ہوسکتا,بعض اوقات غیر مبصر کو کسی غرض سے مبصر کے درجے میں اتار لیتے ہیں جیسے قرآن پاک میں ہے ذلکم اللہ \nاس مثال میں اللہ عز وجل کی ذات مبصر نہیں لیکن اس کو مبصر مے درجے میں اتار لیا ہے
1300,اذھب کیا ہے اسم ہے فعل ہے یا حرف ہے,اذھب فعل ہے
1301,Alhaq kise kahte hain\n,کسی ثلاثی مجرد میں کوئی حرف زائد کر کے اسے رباعی کے وزن پر لانا جیسے جلب میں ایک اور باء بڑھا کر اسے جْلبَبَ کر دیا اور دَحْرَجَ کے وزن پر ہوگیا
1302,علم نحو حاصل کرنے کا فائدہ؟,لفظ کے آخری حرف کے اعراب کا علم ہوگا کہ یہ اعراب کیو آیا ؟
1303,یا زید میں یا حرف ندا ہے تو زید میں فتح انا چاہیے تو ضمہ کیو آ رہے ہیں ؟,زید لفظوں میں مبنی علی الضم ہے محلا منصوب ہی ہے
1304,بدا کون سا مصدر ہے؟,صیغہ واحد مذکر غائب فعل ماضی مثبت معروف ثلاثی مجرد ناقص یائی از باب نصر ینصر \nاصل میں بَدَوَ تھا واؤ متحرک ما قبل مفتوح تھا تو واو کو الف سے بدلا بدا ہوگیا \n\nمجھے یہی سمجھ آیا ہے مزید سوال واضح کریں
1305,مسیرۃ کی صرفی تحقیق کر دیں,https://www.youtube.com/live/xYpHju_zvXs?si=KdA_Zo4cC9utS-B8
1306,اقل سفر تتغیر بہ الاحکام کی ترکیب کیسے ہوگی,اقل مضاف سفر موصوف تتغیر فعل ب جار ھاء ضمیر مجرور جار مجرور ملکر ظرف لغو الاحکام فاعل فعل فاعل ظرف لغو ملکر جملہ فعلیہ خبریہ ہو کر سفر کی صفت موصوف صفت ملکر مرکب توصیفی ہو کر مضاف الیہ \nمضاف اپنے مضاف الیہ سے ملکر مرکب اضافی
1307,زید کیا ہے ؟,جامد ہے
1308,Hal or zulhal ke kitane tariqe he tarkib banane me  bataeye  meharbani hogi,حال اور ذو الحال کی ترکیب کا ایک طریقہ ہے کہ پہلا اسم جس کی حالت بیان کی جا رہی ہے وہ ذو الحال ہوگا بقیہ جس اسم یا جملے سے حالت بیان کی جا رہی ہے وہ حال ہوگا
1309,ایاک نعبد میں مسند اور مسند الیہ کیا ہو گے؟,نعبد فعل مسند اس میں نحن ضمیر مسند الیہ
1310,ہم لکھتے ہیں ۔اس ترجمے کا صیغہ،گردان،اصر فعل بتائیے,صیغہ نکتب فعل مضارع مثبت معروف
1311,الثانی واجب للطواف میں مسند اور مسند الیہ کیا ہو گا؟,الثانی مسند الیہ واجب لطواف مسند
1312,لفظ صاحَب ہوتا ہے یا صاحِب \n\n,صاحِب
1313,مضارع کی صرفی تحقیق کْیا ہے,مضارع صیغہ واحد مذکر اسم فاعل ثلاثی مزید فیہ صحیح از باب مفاعلہ
1314,شش اقسام سے کیا مراد ہے \n,شش اقسام سے مراد \nثلاثی مجرد ثلاثی مزید فیہ \nرباعی مجرد رباعی مزید \nخماسی مجرد خماسی مزید فیہ\nیہ چھ اقسام مراد ہیں
1315,انت طالق یہ جملہ انشائیہ کیسے ہیں ؟؟؟\n,انت طالق \nمیں دو احتمال ہیں \nایک جملہ خبریہ ہونے کا \nیہ اس صورت میں ہوگا جب اس سے کسی چیز کی خبر دی جا رہی ہو جیسے میں کسی عورت کو بتا رہا ہوں تم طلاق والی ہو یا وہ طلاق والی ہے \nیعنی جب خبر دینے کا ارادہ ہو تو جملہ خبریہ ہو\nاور جب اس سے مقصود کسی کو طلاق دینا ہو تو اس صورت میں جملہ انشائیہ ہوگا جیسے تم طلاق والی ہو تمہیں طلاق طلاق وغیرہ \nقاعدہ یاد رکھیں جس جملے سے خبر دی جا رہی ہو وہ جملہ خبریہ ہوتا ہے \nاور جس جملے سے کوئی کام یا عقد کیا جا رہا ہو اس کام کا انشاء ہو رہا ہو تو وہ جملہ انشائیہ ہوگا اس میں متکلم کا ارادہ دیکھا جاتا ہے
1316,ماہ اصل میں کیا تھا اور کونسا قائدہ جاری ہوا؟\n,غالبا آپ نے ماء کا پوچھا ہوگا \nماء اصل میں مَوَہٌ تھا \nواؤ متحرک ما قبل مفتوح کو الف سے بدلا تو ماہ ہوگیا \nپھر ھاء کو ھمزہ سے بدلا تو ماء ہوگیا \n\nھاء حروف ابدال میں سے ہے لیکن ھمزہ سے اس کا بدل جانا سماعی ہے قیاسی نہیں ہے
1317,السلام علیکم ورحمتہ اللہ وبرکاتہ کیسے ہو حضرت امید ہے کہ آپ خیریت سے ہونگے ؟\nحضرت محترم ،\n(الم نجعل الارض کفاتا ۔ احیاء و امواتا) (سورہ مرسلات آیت نمبر 25 ، 26 ۔)\nمذکورہ آیات کی نحوی ترکیب اور نحوی اجراء چاہئے ۔\nجزاکم اللہ خیرا کثیرا,أ استفہامیہ غیر عاملہ \nلم نجعل فعل نحن ضمیر فاعل \nالارض مفعول بہ اول \nکفاتا مصدر \nاحیاء معطوف علیہ و حرف عطف امواتا معطوف معطوف علیہ معطوف ملکر مفعول بہ کفاتا مصدر کا کفاتا مصدر اپنے مفعول بہ سے ملکر نجعل کا مفعول بہ ثانی \nلم نجعل فعل اپنے دونوں مفاعیل سے ملکر جملہ فعلیہ انشائیہ
1318,اَقَلُّ کونسا صیغہ ھے\n\n,اقل صیغہ واحد مذکر اسم فاعل ثلاثی مجرد مضاعف از باب ضرب یضرب
1319,مرفوعات منصوبات اور مجرورات کتنے اور کون سے ہیں,آپ کو جو صفحہ بھیجا تھا اس میں یہ سب لکھے ہوئے ہیں
1320,اسم تفضیل کسے کہتے ہیں,ایسا صفت کا صیغہ جو فعل سے بنایا جاتا ہے جو کہ اپنے موصوف میں کسی کے مقابلے میں معنی کی زیادتی پر دلالت کرتا ہے \nیعنی دو چیزوں میں ایک جیسا معنی ہوتا ہے لیکن اسم تفضیل اپنے موصوف میں معنی کی زیادتی پر دلالت کرتا ہے
1321,اقل صیغہ بتا دیں  تعلیل بھی,صیغہ واحد مذکر اسم تفضیل ثلاثی مجرد مضاعف از باب ضرب یضرب \nقاعدہ ن\nاگر دونوں ہم جنس حروف متحرک ہوں اور ان کا ماقبل حرف بھی متحرک یا مدہ ہو تو پہلے حرف کی حرکت کو حذف کر کے ادغام کرنا واجب ہے\nمذکورہ بالا صورت میں اگر ماقبل حرف ساکن غیر مدہ ہو تو پہلے حرف کی حرکت کو اس حرف کی طرف نقل کر کے ادغام کریں گے\nاصل میں أقْلَلُ تھا قاعدہ نمبر تین کے مطابق \nپہلے لام کی حرکت قاف کو دیکر دونوں کا ادغام کیا تو أَقَلُّ ہو گیا
1322,بسیر الوسط میں کیا  سیر الوسط موصوف صفت میل کر با جار کا معمول بن سکتے ہیں,نہیں جی \nسیر با جار کا معمول ہے اور وسط بلواسط معمول ہے با جار کا
1323,صلوة المسافر کے باب کی نحوی ترکیب سینڈ کر دیں نور الیضاح کتاب کا باب ہے\n,https://www.youtube.com/live/xYpHju_zvXs?si=KdA_Zo4cC9utS-B8
1324,صرفی اجرا کرنے کا طریقہ کار کیا ہے,"*صرفی اجراء کرنے کا طریقہ* \n \n\n1: صیغہ واحد ہے یا تثنیہ یا جمع ؟\n2: مذکر ہے یا مؤنث ؟\nغائب ہے یا حاضر یا متکلم ؟\n3: سہ اقسام میں کیا ہے: اسم ، فعل ، حرف ؟\n4: اگر اسم ہے تو اسماء کی کونسی قسم سے ہے ؟\n5: اگر فعل ہے تو کونسا فعل ہے ؟\n6: اور یہ فعل کس حالت میں ہے: مرفوع یا منصوب یا مجزوم ؟\n7: شش اقسام میں کیا ہے: ثلاثی یا رباعی یا خماسی ؟\n8: یہ صیغہ ہفت اقسام میں کیا ہے ؟\n9: اس صیغے کا باب کونسا ہے ؟\nاور اس کی علامت کیا ہے ؟\n10: اس صیغے میں ""تعلیل یا تخفیف یا ادغام"" ہوئ ہے یا نہیں ؟\n11: اگر ہوئ ہے تو پورا صیغہ مع قاعدے کے بیان کریں۔\n"
1325,اگر نواصب مضارع آجاۓ تحقیق کرتے ہوۓ لن کی الگ کریں گے اور یضرب کی الگ کریں گے ؟ \nگردان کا نام اس میں کیا لکھیں گے ۔۔\n,جی
1326,صرف کیسے مضبوط کریں کوئ اسان اور مختصر طریقہ؟؟ یا ایک pdf بتائں جسمیں تمام صرف کے قواعد موجود ہو,صرف مضبوط کرنے کے لئے نصاب الصرف یا کوئی بھی صرف کی ابتدائی کتاب مضبوط طریقے سے یاد کریں بار بار پڑھیں اور اتنی یاد ہو کہ قواعد کا علم ہونا چاہئے کہاں کونسا قاعدہ لکھا ہوا ہے \nلیکن یہ صرف کی مضبوطی میں صرف دس فیصد ہوگا بقایا نوے فیصد مشق سے مضبوط ہوگا \nمشق لگاتار کریں
